Total epochs processed: 150

{'epoch': '97', 'checkpoint_loss': 2.2979, 'average_training_loss': 2.2979, 'validation_loss': 2.5455, 'learning_rate': 7.5e-06}
{'epoch': '98', 'checkpoint_loss': 2.2923, 'average_training_loss': 2.2923, 'validation_loss': 2.544, 'learning_rate': 5e-06}
{'epoch': '99', 'checkpoint_loss': 2.2872, 'average_training_loss': 2.2872, 'validation_loss': 2.5429, 'learning_rate': 2.5e-06}
{'epoch': '100', 'checkpoint_loss': 2.2827, 'average_training_loss': 2.2827, 'validation_loss': 2.5427, 'learning_rate': 1e-06}
{'epoch': '101', 'checkpoint_loss': 2.2904, 'average_training_loss': 2.2904, 'validation_loss': 2.549, 'learning_rate': 2e-05}
{'epoch': '102', 'checkpoint_loss': 2.3144, 'average_training_loss': 2.3144, 'validation_loss': 2.5587, 'learning_rate': 4e-05}
{'epoch': '103', 'checkpoint_loss': 2.3225, 'average_training_loss': 2.3225, 'validation_loss': 2.5528, 'learning_rate': 3.5e-05}
{'epoch': '104', 'checkpoint_loss': 2.3099, 'average_training_loss': 2.3099, 'validation_loss': 2.5455, 'learning_rate': 3e-05}
{'epoch': '105', 'checkpoint_loss': 2.2959, 'average_training_loss': 2.2959, 'validation_loss': 2.5442, 'learning_rate': 2.5e-05}
{'epoch': '106', 'checkpoint_loss': 2.2826, 'average_training_loss': 2.2826, 'validation_loss': 2.5389, 'learning_rate': 2e-05}
{'epoch': '107', 'checkpoint_loss': 2.2712, 'average_training_loss': 2.2712, 'validation_loss': 2.5369, 'learning_rate': 1.5e-05}
{'epoch': '108', 'checkpoint_loss': 2.2601, 'average_training_loss': 2.2601, 'validation_loss': 2.5325, 'learning_rate': 1e-05}
{'epoch': '109', 'checkpoint_loss': 2.2501, 'average_training_loss': 2.2501, 'validation_loss': 2.5311, 'learning_rate': 5e-06}
{'epoch': '110', 'checkpoint_loss': 2.2412, 'average_training_loss': 2.2412, 'validation_loss': 2.5293, 'learning_rate': 1.25e-06}
{'epoch': '111', 'checkpoint_loss': 2.2461, 'average_training_loss': 2.2461, 'validation_loss': 2.5345, 'learning_rate': 2e-05}
{'epoch': '112', 'checkpoint_loss': 2.2704, 'average_training_loss': 2.2704, 'validation_loss': 2.5437, 'learning_rate': 4e-05}
